concept_id,deu,swe
1,aʊ̯ɡə,øːɡa
2,oːɐ̯,œːra
3,naːzə,nɛːsa
4,mʊnt,mɵn
5,t͡saːn,tanːd
6,t͡sʊŋə,tɵŋːa
7,lɪpə,lɛpː
8,vaŋə,ɕɪnːd
9,ɡəzɪçt,syːn
9,ɡəzɪçt,anːsɪktə
10,ʃtɪɐ̯n,panːa
11,haːɐ̯,hoːr
12,ʃnʊɐ̯baɐ̯t,mɵsːtaɧ
13,baɐ̯t,ɧɛɡː
14,kɪn,hɑːka
15,kiːfɐ,ɕɛːkə
16,keːlə,strʉːpə
17,hals,halːs
18,ɡeːnɪk,nakːə
19,kɔp͡f,hʉːvɵd
20,ʁʏkən,rʏɡː
21,baʊ̯χ,bʉːk
21,baʊ̯χ,mɑːɡə
22,naːbəl,nɑːvəl
23,buːzən,barːm
24,bʁʊst,brøsːt
25,ʃʊltɐ,skɵlːdra
26,aɐ̯m,arːm
27,ɛlɛnboːɡən,arːmbɔɡə
28,hant,hanːd
29,handflɛçə,hanːdflata
30,fɪŋɐ,fɪŋːər
31,fɪŋɛɐ̯naːɡəl,fɪŋːɛɳaɡəl
32,naːɡəl,nɑːɡəl
33,t͡seː,toː
34,fuːs,fuːt
35,fɛɐ̯zə,hɛːl
36,kniː,knɛː
37,oːbɛɐ̯ʃɛŋkəl,loːr
38,baɪ̯n,beːn
39,kœɐ̯pɐ,krɔpː
40,haʊ̯t,hʉːd
40,haʊ̯t,ɧɪnː
41,bluːt,bluːd
42,aːdɐ,oːdər
43,zeːnə,seːna
44,knɔχən,beːn
45,ɡeːhɪɐ̯n,jæːɳa
46,hɛɐ̯t͡s,jæːʈa
47,maːɡən,mɑːɡə
48,leːbɐ,leːvər
49,aːteːm,anːda
49,aːteːm,anːdɛdrɛkt
50,hʊŋɐ,svɛlːt
50,hʊŋɐ,hɵŋːər
51,tʁɛːnə,toːr
52,ɡəʃmak,smɑːk
53,ɡeːʁuːχ,lɵkːt
54,ʃlaːf,sømːn
55,tʁaʊ̯m,drømː
56,hɪməl,hɪmːəl
57,zɔnə,suːl
58,mɔnt,moːnə
59,ʃtɐn,ɧæːɳa
60,lʊft,lɵfːt
61,vɪnt,vɪnːd
62,vɛlə,voːɡ
62,vɛlə,bølːja
63,vasɐ,vatːən
64,ʃtaɪ̯n,steːn
65,boːdən,marːk
66,ɛɐ̯də,juːɖ
67,ʃtaʊ̯p,damː
68,ʁaʊ̯χ,røːk
69,fʊŋkə,ɡnɪsːta
70,fɔʏ̯ɐ,ɛlːd
71,lɪçt,jʉːs
72,ʃatən,skɵɡːa
73,vɛtɐ,vɛːdər
