concept_id,rus,ukr
1,ɡɫaˑs,ɔkɔ
2,uˑxə,wuxɔ
3,nɔˑs,nʲis
4,rɔˑt,rɔt
5,zuˑp,zub
6,jɐzɨˑk,jɑzɪk
7,ɡubaˑ,ɦubɑ
8,ʃʲːɪkaˑ,ʂʈ͡ʂɔkɑ
9,lit͡sɔˑ,ɔblɪʈʈ͡ʂjɑ
10,ɫɔˑp,lɔb
11,vɔˑɫəs,wɔlɔsʲːɑ
11,vɔˑɫəsɨ,wɔlɔsʲːɑ
12,uˑs,wusɑ
12,usɨˑ,wusɑ
13,bərɐdaˑ,bɔrɔdɑ
14,pədbɐrɔˑdək,pʲidbɔrʲidʲːɑ
15,t͡ʃʲeˑlustʲ,ʂʈ͡ʂɛlɛpɑ
16,ɡɔˑrɫə,ɦɔrlɔ
17,ʃɛˑjə,ʂɪjɑ
18,zɐtɨˑɫək,pɔtɪlɪt͡sʲɑ
19,ɡəɫɐvaˑ,ɦɔlɔwɑ
20,spʲinaˑ,spɪnɑ
21,ʒɨvɔˑt,ʐɪvit
22,pupɔˑk,pupɔk
23,ʒɛˑnskəjə ɡrutʲ,ɦrudɪ
24,ɡruˑtʲ,ɦrudɪ
25,plɪt͡ʃɔˑ,plɛʈ͡ʂɛ
26,rukaˑ,rukɑ
27,ɫɔˑkətʲ,lʲikɔtʲ
28,kistʲ,rukɑ
29,ɫɐdɔˑnʲ,dɔlɔnʲɑ
30,paˑlɪt͡s,pɑlɛt͡sʲ
31,nɔˑɡətʲ,nʲiɦɔtʲ
32,nɔˑɡətʲ,nʲiɦɔtʲ
33,paˑlɪt͡s,pɑlɛt͡sʲ nɑ nɔzʲi
34,stupnʲaˑ,nɔɦɑ
35,pʲɪ|taˑ,pjɑtkɑ
35,pʲaˑtkə,pjɑtkɑ
36,kɐleˑnə,kɔlʲinɔ
37,bʲɪdrɔˑ,stɛɦnɔ
38,nɐɡaˑ,nɔɦɑ
39,tʲeˑɫə,tʲilɔ
40,kɔˑʒə,ʂkirɑ
41,krɔˑfʲ,krɔw
42,vʲeˑnə,wɛnɑ
42,sɐsuˑt,wɛnɑ
43,ʒɨˑɫə,suxɔʐɪlʲːɑ
43,tʲɪtʲivaˑ,suxɔʐɪlʲːɑ
43,suxɐʒɨˑlijə,suxɔʐɪlʲːɑ
44,kəstʲ,kistkɑ
45,mɔˑzk,mɔzɔk
46,sʲeˑrdt͡sə,sɛrt͡sɛ
47,ʒɪɫuˑdək,ʂlunɔk
48,pʲeˑt͡ʃʲɪnʲ,pɛʈ͡ʂjinkɑ
49,duˑx,dɪxɑnʲːɑ
49,dɨxaˑnʲijə,dɪxɑnʲːɑ
50,ɡɔˑɫət,ɦɔlɔd
51,slɪzaˑ,slʲɔzɑ
52,vkuˑs,smɑk
53,zaˑpəx,zɑpɑx
54,sɔˑn,sɔn
54,sɔˑn,splʲɑʈ͡ʂkɑ
55,snəvʲidʲeˑnʲijə,sɔn
56,nʲeˑbə,nɛbɔ
57,sɔˑnt͡sə,sɔnt͡sɛ
58,ɫunaˑ,misʲɑt͡sʲ
59,zvʲɪzdaˑ,zʲirkɑ
60,vɔˑzdux,pɔvitrʲɑ
61,vʲeˑtʲɪr,vitɛr
62,vɐɫnaˑ,xwɪlʲɑ
63,vɐdaˑ,wɔdɑ
64,kaˑmʲɪnʲ,kɑminʲ
65,pɔˑt͡ʃvə,ɡrunt
66,zʲɪmlaˑ,zɛmlʲɑ
67,pɨˑl,pɪl
68,dɨˑm,dɪm
69,jɨˑskrə,jiskrɑ
70,ɐɡɔˑnʲ,wɔɦɔnʲ
71,svʲeˑt,svitlɔ
72,tʲeˑnʲ,tʲinʲ
73,pɐɡɔˑdə,pɔɦɔdɑ
74,tumaˑn,tumɑn
75,ɔˑbɫəkə,xmɑrɑ
76,dəʒtʲ,dɔʂʈ͡ʂ
77,snʲeˑk,snʲiɦ
78,lot,lʲid
79,mɐrɔˑs,mɔrɔz
80,xɔˑɫət,xɔlɔd
81,ʒɐraˑ,ʐɑr
82,jɨˑnʲɪj,jinʲij
83,raˑduɡə,rɑjduɦɑ
84,ɡrɔˑm,ɦrʲim
