lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
swe,1,öga,øːɡa,validate
swe,2,öra,œːra,validate
swe,3,näsa,nɛːsa,validate
swe,4,mun,mɵn,validate
swe,5,tand,tanːd,validate
swe,6,tunga,tɵŋːa,validate
swe,7,läpp,lɛpː,validate
swe,8,kind,ɕɪnːd,validate
swe,9,syn,syːn,validate
swe,9,ansikte,anːsɪktə,validate
swe,10,panna,panːa,validate
swe,11,hår,hoːr,validate
swe,12,mustasch,mɵsːtaɧ,validate
swe,13,skägg,ɧɛɡː,validate
swe,14,haka,hɑːka,validate
swe,15,käke,ɕɛːkə,validate
swe,16,strupe,strʉːpə,validate
swe,17,hals,halːs,validate
swe,18,nacke,nakːə,validate
swe,19,huvud,hʉːvɵd,validate
swe,20,rygg,rʏɡː,validate
swe,21,buk,bʉːk,validate
swe,21,mage,mɑːɡə,validate
swe,22,navel,nɑːvəl,validate
swe,23,barm,barːm,validate
swe,24,bröst,brøsːt,validate
swe,25,skuldra,skɵlːdra,validate
swe,26,arm,arːm,validate
swe,27,armbåge,arːmbɔɡə,validate
swe,28,hand,hanːd,validate
swe,29,handflata,hanːdflata,validate
swe,30,finger,fɪŋːər,validate
swe,31,fingernagel,fɪŋːɛɳaɡəl,validate
swe,32,nagel,nɑːɡəl,validate
swe,33,tå,toː,validate
swe,34,fot,fuːt,validate
swe,35,häl,hɛːl,validate
swe,36,knä,knɛː,validate
swe,37,lår,loːr,validate
swe,38,ben,beːn,validate
swe,39,kropp,krɔpː,validate
swe,40,hud,hʉːd,validate
swe,40,skinn,ɧɪnː,validate
swe,41,blod,bluːd,validate
swe,42,åder,oːdər,validate
swe,43,sena,seːna,validate
swe,44,ben,beːn,validate
swe,45,hjärna,jæːɳa,validate
swe,46,hjärta,jæːʈa,validate
swe,47,mage,mɑːɡə,validate
swe,48,lever,leːvər,validate
swe,49,anda,anːda,validate
swe,49,andedräkt,anːdɛdrɛkt,validate
swe,50,svält,svɛlːt,validate
swe,50,hunger,hɵŋːər,validate
swe,51,tår,toːr,validate
swe,52,smak,smɑːk,validate
swe,53,lukt,lɵkːt,validate
swe,54,sömn,sømːn,validate
swe,55,dröm,drømː,validate
swe,56,himmel,hɪmːəl,validate
swe,57,sol,suːl,validate
swe,58,måne,moːnə,validate
swe,59,stjärna,ɧæːɳa,validate
swe,60,luft,lɵfːt,validate
swe,61,vind,vɪnːd,validate
swe,62,våg,voːɡ,validate
swe,62,bölja,bølːja,validate
swe,63,vatten,vatːən,validate
swe,64,sten,steːn,validate
swe,65,mark,marːk,validate
swe,66,jord,juːɖ,validate
swe,67,damm,damː,validate
swe,68,rök,røːk,validate
swe,69,gnista,ɡnɪsːta,validate
swe,70,eld,ɛlːd,validate
swe,71,ljus,jʉːs,validate
swe,72,skugga,skɵɡːa,validate
swe,73,väder,vɛːdər,validate
swe,74,dimma,dɪmːa,validate
swe,74,töcken,tøkːən,validate
swe,75,sky,ɧyː,validate
swe,75,moln,muːln,validate
swe,76,regn,rɛŋːn,validate
swe,77,snö,snøː,validate
swe,78,is,iːs,validate
swe,79,frost,frɔsːt,validate
swe,80,köld,ɕølːd,validate
swe,81,hetta,hɛtːa,validate
swe,82,rimfrost,rɪmːfrɔst,validate
swe,83,regnbåge,rɛŋːnbɔɡə,validate
swe,84,åska,ɔsːka,validate
swe,84,dunder,dɵnːdər,validate
swe,85,strömning,strømːnɪŋ,validate
swe,86,dropper,drɔpːər,validate
swe,87,skum,skɵmː,validate
swe,88,lort,luːʈ,validate
swe,88,smuts,smɵtːs,validate
swe,89,sjö,ɧøː,validate
swe,90,träsk,trɛsːk,validate
swe,91,myr,myːr,validate
swe,91,mosse,mɔsːə,validate
swe,92,äng,ɛŋː,validate
