lang_iso_code,concept_id,ortho_form,raw_ipa,next_step
ukr,1,око,ɔkɔ,validate
ukr,2,вухо,wuxɔ,validate
ukr,3,ніс,nʲis,validate
ukr,4,рот,rɔt,validate
ukr,5,зуб,zub,validate
ukr,6,язик,jɑzɪk,validate
ukr,7,губа,ɦubɑ,validate
ukr,8,щока,ʂʈ͡ʂɔkɑ,validate
ukr,9,обличчя,ɔblɪʈʈ͡ʂjɑ,validate
ukr,10,лоб,lɔb,validate
ukr,11,волосся,wɔlɔsʲːɑ,validate
ukr,12,вуса,wusɑ,validate
ukr,13,борода,bɔrɔdɑ,validate
ukr,14,підборіддя,pʲidbɔrʲidʲːɑ,validate
ukr,15,щелепа,ʂʈ͡ʂɛlɛpɑ,validate
ukr,16,горло,ɦɔrlɔ,validate
ukr,17,шия,ʂɪjɑ,validate
ukr,18,потилиця,pɔtɪlɪt͡sʲɑ,validate
ukr,19,голова,ɦɔlɔwɑ,validate
ukr,20,спина,spɪnɑ,validate
ukr,21,живіт,ʐɪvit,validate
ukr,22,пупок,pupɔk,validate
ukr,23,груди,ɦrudɪ,review
ukr,24,груди,ɦrudɪ,validate
ukr,25,плече,plɛʈ͡ʂɛ,validate
ukr,26,рука,rukɑ,validate
ukr,27,лікоть,lʲikɔtʲ,validate
ukr,28,рука,rukɑ,validate
ukr,29,долоня,dɔlɔnʲɑ,validate
ukr,30,палець,pɑlɛt͡sʲ,validate
ukr,31,ніготь,nʲiɦɔtʲ,validate
ukr,32,ніготь,nʲiɦɔtʲ,validate
ukr,33,палець на нозі,pɑlɛt͡sʲ nɑ nɔzʲi,validate
ukr,34,нога,nɔɦɑ,validate
ukr,35,п’ятка,pjɑtkɑ,validate
ukr,36,коліно,kɔlʲinɔ,validate
ukr,37,стегно,stɛɦnɔ,validate
ukr,38,нога,nɔɦɑ,validate
ukr,39,тіло,tʲilɔ,validate
ukr,40,шкіра,ʂkirɑ,validate
ukr,41,кров,krɔw,validate
ukr,42,вена,wɛnɑ,validate
ukr,43,сухожилля,suxɔʐɪlʲːɑ,validate
ukr,44,кістка,kistkɑ,validate
ukr,45,мозок,mɔzɔk,validate
ukr,46,серце,sɛrt͡sɛ,validate
ukr,47,шлунок,ʂlunɔk,validate
ukr,48,печінка,pɛʈ͡ʂjinkɑ,validate
ukr,49,дихання,dɪxɑnʲːɑ,validate
ukr,50,голод,ɦɔlɔd,validate
ukr,51,сльоза,slʲɔzɑ,validate
ukr,52,смак,smɑk,validate
ukr,53,запах,zɑpɑx,validate
ukr,54,сон,sɔn,validate
ukr,54,сплячка,splʲɑʈ͡ʂkɑ,validate
ukr,55,сон,sɔn,validate
ukr,56,небо,nɛbɔ,validate
ukr,57,сонце,sɔnt͡sɛ,validate
ukr,58,місяць,misʲɑt͡sʲ,validate
ukr,59,зірка,zʲirkɑ,validate
ukr,60,повітря,pɔvitrʲɑ,validate
ukr,61,вітер,vitɛr,validate
ukr,62,хвиля,xwɪlʲɑ,validate
ukr,63,вода,wɔdɑ,validate
ukr,64,камінь,kɑminʲ,validate
ukr,65,ґрунт,ɡrunt,validate
ukr,66,земля,zɛmlʲɑ,validate
ukr,67,пил,pɪl,validate
ukr,68,дим,dɪm,validate
ukr,69,іскра,jiskrɑ,validate
ukr,70,вогонь,wɔɦɔnʲ,validate
ukr,71,світло,svitlɔ,validate
ukr,72,тінь,tʲinʲ,validate
ukr,73,погода,pɔɦɔdɑ,validate
ukr,74,туман,tumɑn,validate
ukr,75,хмара,xmɑrɑ,validate
ukr,76,дощ,dɔʂʈ͡ʂ,validate
ukr,77,сніг,snʲiɦ,validate
ukr,78,лід,lʲid,validate
ukr,79,мороз,mɔrɔz,validate
ukr,80,холод,xɔlɔd,validate
ukr,81,жар,ʐɑr,validate
ukr,82,іній,jinʲij,validate
ukr,83,райдуга,rɑjduɦɑ,validate
ukr,84,грім,ɦrʲim,validate
ukr,85,струмина,strumɪnɑ,review
ukr,86,крапля,krɑplʲɑ,validate
ukr,87,піна,pʲinɑ,validate
ukr,88,бруд,brud,review
ukr,89,озеро,ɔzɛrɔ,validate
ukr,90,драговина,drɑɦɔwɪnɑ,review
ukr,91,болото,bɔlɔtɔ,validate
ukr,92,луг,luɦ,validate
ukr,92,лука,lukɑ,validate
ukr,93,ліс,lʲis,validate
ukr,94,горб,ɦɔrb,validate
ukr,95,височина,wɪsɔʈ͡ʂɪnɑ,review
ukr,96,гора,ɦɔrɑ,validate
ukr,97,вершина,wɛrʂɪnɑ,validate
ukr,98,печера,pɛʈ͡ʂɛrɑ,validate
ukr,99,схил,sxɪl,review
ukr,100,джерело,ɖ͡ʐɛrɛlɔ,validate
ukr,101,струмок,strumɔk,validate
ukr,102,річка,rʲiʈ͡ʂkɑ,validate
ukr,103,берег,bɛrɛɦ,validate
ukr,104,узбережжя,uzbɛrɛʐːɑ,validate
ukr,105,суша,suʂɑ,validate
ukr,106,море,mɔrɛ,validate
ukr,107,бухта,buxtɑ,review
ukr,107,затока,zɑtɔkɑ,review
ukr,108,острів,ɔstrʲiw,validate
ukr,109,квітка,kvitkɑ,validate
ukr,110,трава,trɑwɑ,validate
ukr,111,корінь,kɔrʲinʲ,validate
ukr,112,дерево,dɛrɛwɔ,validate
ukr,113,стовбур,stɔwbur,validate
ukr,114,кора,kɔrɑ,validate
ukr,115,гілка,ɦjilkɑ,validate
ukr,116,галузь,ɦɑluzʲ,validate
ukr,117,лист,lɪst,validate
ukr,118,береза,bɛrɛzɑ,validate
ukr,119,сосна,sɔsnɑ,validate
ukr,120,верба,wɛrbɑ,validate
ukr,121,ялиця,jɑlɪt͡sʲɑ,validate
ukr,122,ріг,rʲiɦ,validate
ukr,123,перо,pɛrɔ,validate
ukr,124,хутро,xutrɔ,validate
ukr,125,крило,krɪlɔ,validate
ukr,126,кіготь,kiɦɔtʲ,validate
ukr,127,лапа,lɑpɑ,validate
ukr,128,хвіст,xvist,validate
ukr,129,яйце,jɑjt͡sɛ,validate
ukr,130,гніздо,ɦnʲizdɔ,validate
ukr,131,лігво,lʲiɦwɔ,review
ukr,132,тварина,twɑrɪnɑ,validate
ukr,133,стадо,stɑdɔ,validate
ukr,134,корова,kɔrɔwɑ,validate
ukr,135,бик,bɪk,validate
ukr,135,бугай,buɦɑj,validate
ukr,136,кінь,kinʲ,validate
ukr,137,вівця,viwt͡sʲɑ,validate
ukr,138,свиня,swɪnʲɑ,validate
ukr,139,собака,sɔbɑkɑ,validate
ukr,140,кішка,kiʂkɑ,validate
ukr,141,ведмідь,wɛdmidʲ,validate
ukr,142,білка,bilkɑ,validate
ukr,143,лось,lɔsʲ,validate
ukr,144,лисиця,lɪsɪt͡sʲɑ,validate
ukr,145,заєць,zɑjɛt͡sʲ,validate
ukr,146,миша,mɪʂɑ,validate
ukr,147,вовк,wɔwk,validate
ukr,148,птах,ptɑx,validate
ukr,149,зграя,zɦrɑjɑ,validate
ukr,150,курка,kurkɑ,review
ukr,151,півень,pʲiwɛnʲ,validate
ukr,152,гуска,ɦuskɑ,validate
ukr,153,орел,ɔrɛl,validate
ukr,154,качка,kɑʈ͡ʂkɑ,validate
ukr,155,сова,sɔwɑ,validate
ukr,156,журавель,ʐurɑwɛlʲ,validate
ukr,157,ворона,wɔrɔnɑ,validate
ukr,158,зозуля,zɔzulʲɑ,validate
ukr,159,лебідь,lɛbidʲ,validate
ukr,160,риба,rɪbɑ,validate
ukr,161,окунь,ɔkunʲ,validate
ukr,162,щука,ʂʈ͡ʂukɑ,validate
ukr,163,змія,zmijɑ,validate
ukr,164,черв’як,ʈ͡ʂɛrwjɑk,validate
ukr,165,павук,pɑwuk,validate
ukr,166,мурашка,murɑʂkɑ,validate
ukr,167,воша,wɔʂɑ,validate
ukr,168,комар,kɔmɑr,validate
ukr,169,муха,muxɑ,validate
ukr,170,метелик,mɛtɛlɪk,validate
ukr,171,ягода,jɑɦɔdɑ,validate
ukr,172,яблуко,jɑblukɔ,validate
ukr,173,гриб,ɦrɪb,validate
ukr,174,цибуля,t͡sɪbulʲɑ,validate
ukr,175,сім’я,sʲimjɑ,validate
ukr,176,зерно,zɛrnɔ,validate
ukr,177,сіно,sʲinɔ,validate
