aʊ̯ɡə,øːɡa
oːɐ̯,œːra
naːzə,nɛːsa
mʊnt,mɵn
t͡saːn,tanːd
t͡sʊŋə,tɵŋːa
lɪpə,lɛpː
vaŋə,ɕɪnːd
ɡəzɪçt,syːn
ɡəzɪçt,anːsɪktə
ʃtɪɐ̯n,panːa
haːɐ̯,hoːr
ʃnʊɐ̯baɐ̯t,mɵsːtaɧ
baɐ̯t,ɧɛɡː
kɪn,hɑːka
kiːfɐ,ɕɛːkə
keːlə,strʉːpə
hals,halːs
ɡeːnɪk,nakːə
kɔp͡f,hʉːvɵd
ʁʏkən,rʏɡː
baʊ̯χ,bʉːk
baʊ̯χ,mɑːɡə
naːbəl,nɑːvəl
buːzən,barːm
bʁʊst,brøsːt
ʃʊltɐ,skɵlːdra
aɐ̯m,arːm
ɛlɛnboːɡən,arːmbɔɡə
hant,hanːd
handflɛçə,hanːdflata
fɪŋɐ,fɪŋːər
fɪŋɛɐ̯naːɡəl,fɪŋːɛɳaɡəl
naːɡəl,nɑːɡəl
t͡seː,toː
fuːs,fuːt
fɛɐ̯zə,hɛːl
kniː,knɛː
oːbɛɐ̯ʃɛŋkəl,loːr
baɪ̯n,beːn
kœɐ̯pɐ,krɔpː
haʊ̯t,hʉːd
haʊ̯t,ɧɪnː
bluːt,bluːd
aːdɐ,oːdər
zeːnə,seːna
knɔχən,beːn
ɡeːhɪɐ̯n,jæːɳa
hɛɐ̯t͡s,jæːʈa
maːɡən,mɑːɡə
leːbɐ,leːvər
aːteːm,anːda
aːteːm,anːdɛdrɛkt
hʊŋɐ,svɛlːt
hʊŋɐ,hɵŋːər
tʁɛːnə,toːr
ɡəʃmak,smɑːk
ɡeːʁuːχ,lɵkːt
ʃlaːf,sømːn
tʁaʊ̯m,drømː
hɪməl,hɪmːəl
zɔnə,suːl
mɔnt,moːnə
ʃtɐn,ɧæːɳa
lʊft,lɵfːt
vɪnt,vɪnːd
vɛlə,voːɡ
vɛlə,bølːja
vasɐ,vatːən
ʃtaɪ̯n,steːn
boːdən,marːk
ɛɐ̯də,juːɖ
ʃtaʊ̯p,damː
ʁaʊ̯χ,røːk
fʊŋkə,ɡnɪsːta
fɔʏ̯ɐ,ɛlːd
lɪçt,jʉːs
ʃatən,skɵɡːa
vɛtɐ,vɛːdər
neːbəl,dɪmːa
neːbəl,tøkːən
vɔlkə,ɧyː
vɔlkə,muːln
ʁeːɡən,rɛŋːn
ʃneː,snøː
aɪ̯s,iːs
fʁɔst,frɔsːt
kɛltə,ɕølːd
hɪt͡sə,hɛtːa
ʁaʊ̯ʁaɪ̯f,rɪmːfrɔst
ʁeːɡɛnboːɡən,rɛŋːnbɔɡə
dɔnɐ,ɔsːka
dɔnɐ,dɵnːdər
ʃtʁøːmʊŋ,strømːnɪŋ
tʁɔp͡fən,drɔpːər
ʃaʊ̯m,skɵmː
ʃmʊt͡s,luːʈ
ʃmʊt͡s,smɵtːs
zeː,ɧøː
zʊmp͡f,trɛsːk
moːɐ̯,myːr
moːɐ̯,mɔsːə
viːzə,ɛŋː
valt,skuːɡ
hyːɡəl,højːd
hyːɡəl,kɵlːə
anhøːhə,højːd
anhøːhə,bakːə
bɛɐ̯k,bɛrːɡ
bɛɐ̯k,fjɛlː
ɡɪp͡fəl,tɔpː
høːlə,hoːla
høːlə,ɡrɔtːa
abhaŋ,slɛnːt
abhaŋ,slɵtːnɪŋ
kwɛlə,ɕɛlːa
baχ,bɛkː
flʊs,ɛlːv
flʊs,fluːd
uːfɐ,stranːd
kʏstə,kɵsːt
fɛstlant,fasːtland
meːɐ̯,hɑːv
bʊχt,viːk
bʊχt,bɵkːt
ɪnzəl,øː
bluːmə,blɔmːa
bluːmə,blɔmːstər
ɡʁaːs,ɡrɛːs
vʊɐ̯t͡səl,ruːt
baʊ̯m,trɛːd
ʃtam,stamː
ʁɪndə,barːk
ast,ɡreːn
t͡svaɪ̯k,kvɪsːt
blat,løːv
blat,blɑːd
bɪɐ̯kə,bjœrːk
kiːfɐ,talː
vaɪ̯də,piːl
vaɪ̯də,viːdə
tanə,ɡrɑːn
hɔɐ̯n,huːɳ
feːdɐ,fjɛːdər
fɛl,fɛlː
fɛl,ɧɪnː
flyːɡəl,vɪŋːə
klaʊ̯ə,kløːv
kʁalə,kluː
ʃvant͡s,svanːs
ʃvant͡s,ɧæːʈ
aɪ̯,ɛɡː
nɛst,reːdə
nɛst,nɛsːtə
baʊ̯,buː
tiːɐ̯,jʉːr
hɛɐ̯də,flɔkː
kuː,kuː
bʊlə,ɕʉːr
p͡fɛɐ̯t,hɛsːt
ʃaːf,foːr
ʃvaɪ̯n,sviːn
hʊnt,hɵnːd
kat͡sə,katː
bɛːɐ̯,bjœːɳ
aɪ̯çhœɐ̯nçən,eːkɔrə
ɛlç,ɛlːɡ
fʊks,rɛːv
haːzə,hɑːrə
maʊ̯s,mʉːs
vɔlf,varːɡ
foːɡəl,foːɡəl
ʃvaɐ̯m,sværːm
huːn,hønːs
haːn,tɵpː
ɡans,ɡoːs
adlɐ,œːɳ
ɛntə,anːka
ɔʏ̯lə,ɵɡːla
kʁaːnɪç,trɑːna
kʁɛːhə,kroːka
kʊkʊk,jøːk
ʃvaːn,svɑːn
fɪʃ,fɪsːk
baɐ̯ʃ,abːɔrə
hɛçt,jɛdːa
ʃlaŋə,ɔrːm
vʊɐ̯m,masːk
ʃpɪnə,spɪnːdəl
aːmaɪ̯zə,myːra
laʊ̯s,lʉːs
mʏkə,mʏɡːa
fliːɡə,flʉːɡa
ʃmɛtɛɐ̯lɪŋ,fjæːrɪl
beːʁə,bæːr
ap͡fəl,ɛpːlə
pɪlt͡s,svamːp
t͡sviːbəl,løːk
zaːt,sɔdː
kɔɐ̯n,kuːɳ
hɔʏ̯,høː
ʃaːlə,skɑːl
ɡʁuːbə,ɡruːp
falə,fɛlːa
ʃlɪŋə,snɑːra
ʃpuːɐ̯,spoːr
aʃə,asːka
dʁɛk,luːʈ
aɪ̯zən,jæːɳ
ɡɔlt,ɡɵlːd
zɪlbɐ,sɪlːvər
koːlə,kuːl
ɡlaːs,ɡlɑːs
leːm,leːra
zant,sanːd
mɛnʃ,mɛnːɪska
man,manː
fʁaʊ̯,kvɪnːa
kɪnt,bɑːɳ
jʊŋə,pɔjːkə
mɛdçən,flɪkːa
faːmiːliː,famːɪlj
ɡʁoːsfaːtɐ,mɔrːfar
ɡʁoːsmʊtɐ,farːmɔr
ɛltɐn,fœːrɛldrar
faːtɐ,fɑːr
mʊtɐ,muːr
zoːn,suːn
tɔχtɐ,dɔtːər
bʁuːdɐ,bruːr
ʃvɛstɐ,sʏsːtər
ɔŋkəl,mɔrːbrɔr
tantə,tanːt
eːəman,ɛkːta mɑːn
eːəfʁaʊ̯,hɵsːtrɵ
fʁɔʏ̯də,frøjːd
fʁɔʏ̯də,ɡlɛdːjə
ɡəlɛçtɐ,oːtløjə
ɡlʏk,lʏkːa
kʊmɐ,sɔrːɡ
vʊnʃ,ønːskan
lʊst,lɵsːt
ɡaɪ̯st,anːdə
ɡədaŋkə,tanːkə
ɡədɛçtnɪs,mɪnːə
fɛɐ̯ʃtant,fœrːstɔnd
zɪn,meːnɪŋ
zɪn,bətyːdɛlsə
ɡʁʊnt,ɧɛːl
ɡʁʊnt,ɡrɵnːd
vaːɐ̯haɪ̯t,sanːɪŋ
ɡəspʁɛç,samːtal
mɛɐ̯çən,sɑːɡa
ɛɐ̯t͡sɛːlʊŋ,bərɛtːɛlsə
naχʁɪçt,mɛdːɛlandə
nɔʏ̯ɪɡkaɪ̯t,nyːhət
naːmə,namːn
ʁɛt͡səl,ɡoːta
ʁeːdə,tɑːl
ʃpʁaχə,sproːk
ʃtɪmə,stɛmːa
vɔɐ̯t,uːɖ
t͡saɪ̯çən,tɛkːən
ʁuːf,ruːp
lɛɐ̯m,broːk
lɛɐ̯m,uːvɛsən
laʊ̯t,jʉːd
toːn,tuːn
liːt,sɔŋː
ʁuːə,ruː
ʁuːə,lɵŋːn
lɔʏ̯tə,fɔlːk
fɔlk,fɔlːk
aɐ̯baɪ̯t,arːbɛtə
ɡast,jɛsːt
ɡɛʃɛŋk,ɡoːva
ɡɛʃɛŋk,preːsɛnt
ʃpiːl,leːk
ʃpiːl,speːl
ɡəzɛlʃaft,sɛlːskap
hɪlfə,jɛlːp
fʁɔʏ̯nt,vɛnː
kaːmeːʁaːt,kamːrat
aŋeːleːɡɛnhaɪ̯t,æːrɛndə
aŋeːleːɡɛnhaɪ̯t,aŋːɛlɛjɛnhət
ant͡saːl,anːtal
aɐ̯t,ɑːʈ
aɐ̯t,slɑːɡ
