ɡɫaˑs,ɔkɔ
uˑxə,wuxɔ
nɔˑs,nʲis
rɔˑt,rɔt
zuˑp,zub
jɐzɨˑk,jɑzɪk
ɡubaˑ,ɦubɑ
ʃʲːɪkaˑ,ʂʈ͡ʂɔkɑ
lit͡sɔˑ,ɔblɪʈʈ͡ʂjɑ
ɫɔˑp,lɔb
vɔˑɫəs,wɔlɔsʲːɑ
vɔˑɫəsɨ,wɔlɔsʲːɑ
uˑs,wusɑ
usɨˑ,wusɑ
bərɐdaˑ,bɔrɔdɑ
pədbɐrɔˑdək,pʲidbɔrʲidʲːɑ
t͡ʃʲeˑlustʲ,ʂʈ͡ʂɛlɛpɑ
ɡɔˑrɫə,ɦɔrlɔ
ʃɛˑjə,ʂɪjɑ
zɐtɨˑɫək,pɔtɪlɪt͡sʲɑ
ɡəɫɐvaˑ,ɦɔlɔwɑ
spʲinaˑ,spɪnɑ
ʒɨvɔˑt,ʐɪvit
pupɔˑk,pupɔk
ʒɛˑnskəjə ɡrutʲ,ɦrudɪ
ɡruˑtʲ,ɦrudɪ
plɪt͡ʃɔˑ,plɛʈ͡ʂɛ
rukaˑ,rukɑ
ɫɔˑkətʲ,lʲikɔtʲ
kistʲ,rukɑ
ɫɐdɔˑnʲ,dɔlɔnʲɑ
paˑlɪt͡s,pɑlɛt͡sʲ
nɔˑɡətʲ,nʲiɦɔtʲ
nɔˑɡətʲ,nʲiɦɔtʲ
paˑlɪt͡s,pɑlɛt͡sʲ nɑ nɔzʲi
stupnʲaˑ,nɔɦɑ
pʲɪ|taˑ,pjɑtkɑ
pʲaˑtkə,pjɑtkɑ
kɐleˑnə,kɔlʲinɔ
bʲɪdrɔˑ,stɛɦnɔ
nɐɡaˑ,nɔɦɑ
tʲeˑɫə,tʲilɔ
kɔˑʒə,ʂkirɑ
krɔˑfʲ,krɔw
vʲeˑnə,wɛnɑ
sɐsuˑt,wɛnɑ
ʒɨˑɫə,suxɔʐɪlʲːɑ
tʲɪtʲivaˑ,suxɔʐɪlʲːɑ
suxɐʒɨˑlijə,suxɔʐɪlʲːɑ
kəstʲ,kistkɑ
mɔˑzk,mɔzɔk
sʲeˑrdt͡sə,sɛrt͡sɛ
ʒɪɫuˑdək,ʂlunɔk
pʲeˑt͡ʃʲɪnʲ,pɛʈ͡ʂjinkɑ
duˑx,dɪxɑnʲːɑ
dɨxaˑnʲijə,dɪxɑnʲːɑ
ɡɔˑɫət,ɦɔlɔd
slɪzaˑ,slʲɔzɑ
vkuˑs,smɑk
zaˑpəx,zɑpɑx
sɔˑn,sɔn
sɔˑn,splʲɑʈ͡ʂkɑ
snəvʲidʲeˑnʲijə,sɔn
